epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.35638,1.13479,3.27657,1.32048,0.00333,1,0.02804,0.01284,1.005,3.67503,1.18093,0.0001,0.0001,0.0001
2,14.3353,1.13449,2.93229,1.31331,0.00333,1,0.08786,0.06439,0.95834,3.38911,1.09831,0.00021274,0.00021274,0.00021274
3,20.1624,1.12451,1.89455,1.26908,0.00333,1,0.37643,0.30693,1.03492,3.24195,1.08925,0.00031756,0.00031756,0.00031756
4,26.4045,1.2353,2.07687,1.33887,0.00333,1,0.50051,0.32524,1.32961,3.02291,1.17513,0.00041446,0.00041446,0.00041446
5,31.9633,1.01678,8.26195,1.07631,0.05981,0.5,0.35655,0.16514,1.46016,3.02992,1.23291,0.00050344,0.00050344,0.00050344
6,37.8458,0.96829,2.0934,1.18419,0.00333,1,0.01154,0.00729,1.61837,3.63002,1.46028,0.0005845,0.0005845,0.0005845
7,43.7279,1.16506,2.11458,1.21551,0.00333,1,0.01112,0.00596,1.84196,3.87236,1.59261,0.00065764,0.00065764,0.00065764
8,49.5097,1.02544,1.85782,1.16061,0.00333,1,0.01112,0.00596,1.84196,3.87236,1.59261,0.00072286,0.00072286,0.00072286
9,55.1022,1.03302,1.84726,1.21772,0.00333,1,0.00557,0.00274,1.98034,4.04628,1.6819,0.00078016,0.00078016,0.00078016
10,60.9184,1.03856,1.925,1.14573,0.00333,1,0.00495,0.00227,2.0031,4.03051,1.76027,0.00082954,0.00082954,0.00082954
11,66.5229,1.10129,1.79455,1.27689,0.00333,1,0.00495,0.00227,2.0031,4.03051,1.76027,0.000871,0.000871,0.000871
12,72.2063,1.00805,1.62781,1.13507,0.00333,1,0.01159,0.00671,1.78942,3.96588,1.54694,0.00090454,0.00090454,0.00090454
13,77.8293,0.9639,1.73178,1.18084,0.00333,1,0.01159,0.00671,1.78942,3.96588,1.54694,0.00093016,0.00093016,0.00093016
14,83.634,0.98302,1.7786,1.15075,0.00333,1,0.01159,0.00671,1.78942,3.96588,1.54694,0.00094786,0.00094786,0.00094786
15,89.3684,0.9014,1.62956,1.10017,0.00333,1,0.01229,0.00754,1.63001,3.79873,1.45749,0.00095764,0.00095764,0.00095764
16,94.9969,0.94612,1.61933,1.19559,0.00333,1,0.01229,0.00754,1.63001,3.79873,1.45749,0.0009595,0.0009595,0.0009595
17,100.528,1.04277,1.57261,1.27209,0.00167,0.5,0.00253,0.00129,2.02518,4.18019,1.7834,0.000944,0.000944,0.000944
18,106.483,1.00162,1.47317,1.2172,0.00167,0.5,0.00253,0.00129,2.02518,4.18019,1.7834,0.000878,0.000878,0.000878
19,111.991,1.17121,1.42183,1.21109,0.00167,0.5,0.00253,0.00129,2.02518,4.18019,1.7834,0.000812,0.000812,0.000812
20,117.888,0.90621,1.35033,1.08621,0.00333,1,0.00449,0.00201,2.23224,3.86214,1.7633,0.000746,0.000746,0.000746
21,123.343,0.86651,2.13811,0.9657,0.00333,1,0.00449,0.00201,2.23224,3.86214,1.7633,0.00068,0.00068,0.00068
22,129.128,0.93332,2.61258,1.29192,0.00333,1,0.00449,0.00201,2.23224,3.86214,1.7633,0.000614,0.000614,0.000614
23,134.633,0.78398,2.3644,1.03363,0.10997,0.25,0.05413,0.03731,1.55453,3.56087,1.51396,0.000548,0.000548,0.000548
24,140.147,0.99279,2.12684,1.20372,0.10997,0.25,0.05413,0.03731,1.55453,3.56087,1.51396,0.000482,0.000482,0.000482
25,146.048,0.69297,4.10078,0.88501,0.22639,0.25,0.09626,0.06352,1.62105,3.5914,1.59136,0.000416,0.000416,0.000416
26,151.822,0.79303,2.2357,1.03026,0.22639,0.25,0.09626,0.06352,1.62105,3.5914,1.59136,0.00035,0.00035,0.00035
27,157.547,0.83394,2.01745,1.06691,0.22639,0.25,0.09626,0.06352,1.62105,3.5914,1.59136,0.000284,0.000284,0.000284
28,163.554,0.72417,2.03818,1.01791,0.2083,0.25,0.08116,0.05409,1.64035,3.64496,1.57555,0.000218,0.000218,0.000218
29,169.068,0.82026,2.00935,1.04715,0.2083,0.25,0.08116,0.05409,1.64035,3.64496,1.57555,0.000152,0.000152,0.000152
30,174.597,0.77197,2.16142,0.99037,0.2083,0.25,0.08116,0.05409,1.64035,3.64496,1.57555,8.6e-05,8.6e-05,8.6e-05
