epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.344,1.8554,3.19183,2.04671,0.00333,1,0.0216,0.00931,1.06458,3.76024,1.2734,0.0001,0.0001,0.0001
2,15.9931,1.50531,2.95947,1.68985,0.00333,1,0.07239,0.0273,1.13648,3.84692,1.388,0.00021274,0.00021274,0.00021274
3,22.4389,1.2452,2.31472,1.4456,0.00333,1,0.50085,0.20042,1.36556,3.64914,1.42689,0.00031756,0.00031756,0.00031756
4,29.1048,1.37759,2.18237,1.44074,0.00333,1,0.5259,0.15763,1.51462,3.55278,1.50187,0.00041446,0.00041446,0.00041446
5,35.443,1.25391,2.27713,1.41765,0.21045,0.5,0.56375,0.20978,1.61772,3.31884,1.4579,0.00050344,0.00050344,0.00050344
6,41.9831,1.09573,1.75942,1.29863,0.43126,0.5,0.34125,0.14683,1.69905,3.07014,1.37034,0.0005845,0.0005845,0.0005845
7,48.5965,1.16709,1.9577,1.26723,0.00333,1,0.26833,0.1417,1.75258,3.22105,1.20941,0.00065764,0.00065764,0.00065764
8,55.221,1.08138,1.41842,1.22197,0.00333,1,0.26833,0.1417,1.75258,3.22105,1.20941,0.00072286,0.00072286,0.00072286
9,61.5068,1.00035,1.38137,1.18964,0.00333,1,0.19413,0.10817,1.63475,3.30048,1.18368,0.00078016,0.00078016,0.00078016
10,68.4471,1.0926,1.62669,1.25493,0.28597,1,0.30615,0.15602,1.65076,3.22471,1.20039,0.00082954,0.00082954,0.00082954
11,75.0483,1.23623,1.60217,1.36775,0.28597,1,0.30615,0.15602,1.65076,3.22471,1.20039,0.000871,0.000871,0.000871
12,81.5041,1.25748,1.58484,1.29029,0.35443,0.69241,0.44222,0.22963,1.78893,2.85103,1.26718,0.00090454,0.00090454,0.00090454
13,87.927,1.11544,1.55186,1.26189,0.35443,0.69241,0.44222,0.22963,1.78893,2.85103,1.26718,0.00093016,0.00093016,0.00093016
14,94.5361,1.05272,1.49237,1.25004,0.35443,0.69241,0.44222,0.22963,1.78893,2.85103,1.26718,0.00094786,0.00094786,0.00094786
15,100.838,1.17274,1.47757,1.38201,0.44419,0.5,0.46341,0.22286,1.80539,2.89988,1.31376,0.00095764,0.00095764,0.00095764
16,106.537,0.99327,1.53932,1.25154,0.44419,0.5,0.46341,0.22286,1.80539,2.89988,1.31376,0.0009595,0.0009595,0.0009595
17,112.363,1.09644,1.4677,1.32595,0.27785,0.77113,0.33167,0.10415,1.99069,3.15838,1.53879,0.000944,0.000944,0.000944
18,118.213,1.09241,1.45232,1.27015,0.27785,0.77113,0.33167,0.10415,1.99069,3.15838,1.53879,0.000878,0.000878,0.000878
19,124.09,1.08196,1.47207,1.21144,0.27785,0.77113,0.33167,0.10415,1.99069,3.15838,1.53879,0.000812,0.000812,0.000812
20,129.887,1.0107,1.33676,1.2695,0.19401,0.54471,0.31885,0.1682,1.59494,3.62629,1.31935,0.000746,0.000746,0.000746
21,135.72,0.99484,2.06924,1.15964,0.19401,0.54471,0.31885,0.1682,1.59494,3.62629,1.31935,0.00068,0.00068,0.00068
22,142.436,0.9848,2.20563,1.3143,0.19401,0.54471,0.31885,0.1682,1.59494,3.62629,1.31935,0.000614,0.000614,0.000614
23,148.452,1.05356,1.72842,1.23099,0.48149,0.5,0.4475,0.27127,1.40955,3.17708,1.15165,0.000548,0.000548,0.000548
24,154.489,0.85941,1.68329,1.06779,0.48149,0.5,0.4475,0.27127,1.40955,3.17708,1.15165,0.000482,0.000482,0.000482
25,160.828,0.92649,1.80351,1.17607,0.44647,0.75,0.66167,0.2613,1.75989,2.62405,1.45851,0.000416,0.000416,0.000416
26,166.935,0.87988,1.60407,1.14987,0.44647,0.75,0.66167,0.2613,1.75989,2.62405,1.45851,0.00035,0.00035,0.00035
27,172.857,0.8835,1.49509,1.11556,0.44647,0.75,0.66167,0.2613,1.75989,2.62405,1.45851,0.000284,0.000284,0.000284
28,179.296,0.83562,1.63906,1.16063,0.54553,1,0.78071,0.29499,1.78398,2.78373,1.47368,0.000218,0.000218,0.000218
29,185.057,0.82147,1.8131,1.11037,0.54553,1,0.78071,0.29499,1.78398,2.78373,1.47368,0.000152,0.000152,0.000152
30,190.705,0.8867,1.71172,1.12251,0.54553,1,0.78071,0.29499,1.78398,2.78373,1.47368,8.6e-05,8.6e-05,8.6e-05
